Job Title,Company Name,Experience,Location,Job Description
Data Engineer & Senior Data engineer (immediate to 30 days NP)banking,Sphere IT Consultants DWC LLC,5 - 10 Years,Dubai - United Arab Emirates (UAE),"Responsibilities include data analysis, feature engineering, and automation using Python, Spark, SQL, and tools like Jupyter and Git."
Lead Data Engineer – AWS,NorthBay Solutions Private Limited,8 - 15 Years,Cairo - Egypt,"Lead design and implementation of AWS data pipelines, ETL solutions, and data warehousing while mentoring engineers and ensuring data governance."
Senior Data Engineer,Al Futtaim Private Company (LLC),10 - 16 Years,Dubai - United Arab Emirates (UAE),"Design and manage scalable data pipelines, convert business requirements into specifications, and collaborate using Azure tools and methodologies."
Data Engineer,DUBAI PROPERTIES GROUP LLC,3 - 6 Years,Dubai - United Arab Emirates (UAE),"Design and maintain data pipelines, develop ETL processes, ensure data quality, collaborate with stakeholders, and advocate for agile methodologies."
Senior MS Fabric Data Engineer,Alpha Data Recruitment,5 - 10 Years,Dubai - United Arab Emirates (UAE),"Design and maintain scalable data architectures on Microsoft Fabric, optimize data pipelines with Python and PowerShell, and implement data governance practices."
Senior Quantitative Data Engineer & Algo Developer,AlphaCrest Advisors,4 - 8 Years,Dubai - United Arab Emirates (UAE),"Build and scale data pipelines, execute trading signals, maintain infrastructure, and develop algorithms using Python and cloud technologies."
Data Engineer - Systematic Commodities Hedge Fund,Moreton Capital Partners,3 - 5 Years,"Abu Dhabi - United Arab Emirates , Dubai - United Arab Emirates","Design and maintain data pipelines, build ETL workflows, and collaborate with researchers, requiring strong Python skills and understanding of data systems."
Senior Data Engineer,Etihad Airways,5 - 10 Years,Abu Dhabi - United Arab Emirates,"Lead and mentor a Databricks engineering team, ensuring best practices in data development, architecture, and continuous improvement of data product reliability."
Senior Data Engineer,Silver Edge Arabia,5 - 7 Years,Eastern Province - Saudi Arabia,"The role involves optimizing data lakes for GenAI, designing ETL processes, collaborating with Data Scientists, and requires expertise in Python, SQL, and big data frameworks."
Bioinformatics Data Engineer,GenBio AI,1 - 7 Years,Abu Dhabi - United Arab Emirates,"The role involves acquiring, processing, and analyzing biological data, ensuring quality and compliance, while collaborating with scientists and engineers."
Senior Data Engineer - Data Platform,Salla,4 - 7 Years,Makkah Al Mukarramah - Saudi Arabia,"Design and maintain scalable ETL/ELT pipelines, optimize data infrastructure, implement CI/CD workflows, and manage data quality and architecture."
Data Engineer,AtliQ Technologies,3 - 5 Years,Qatar - Qatar,"Design and optimize data pipelines using Azure tools, ensure data quality, and support analytics while collaborating with engineers and stakeholders."
Senior Databricks Data Engineer,Luxoft,5 - 7 Years,United Arab Emirates - United Arab Emirates,"Develop and maintain scalable data pipelines using Databricks, PySpark, and SQL, ensuring data accuracy and optimizing performance for investment analytics."
Sr. Data Engineer,aspire,5 - 7 Years,Jordan - Jordan,"Design and implement ETL pipelines, optimize SQL queries, and develop data workflows using Python and cloud data warehouses like Snowflake."
Senior Data Engineer,Uniparticle,5 - 7 Years,Cairo - Egypt,"Design and implement scalable data ingestion and transformation pipelines, integrating multiple data sources while ensuring data quality and performance optimization."
Senior Data Engineer,Sana Commerce,8 - 10 Years,Alexandria - Egypt,"Design and maintain scalable data pipelines, optimize data infrastructure, and develop AI-driven solutions using Azure Data Services and Databricks."
